"Type of Captcha","Captcha-Typ"
"Forces the widget to render in a specific language. Auto-detects the user's language if unspecified.","Zwingt das Widget, in einer bestimmten Sprache zu rendern. Erkennt automatisch die Sprache des Benutzers, wenn sie nicht angegeben ist."
"Size of the captcha","Größe des Captcha"
"The size of the widget. At the moment you can only choose between compact and normal.","Ermöglicht es Ihnen, die Größe des Captcha zu ändern. Im Moment können Sie nur zwischen Kompakt und Normal wählen."
"Compact","Kompakt"
"Auto-detects the user's language","Erkennt automatisch die Sprache des Benutzers"
"Arabic","Arabisch"
"Afrikaans","Afrikaans"
"Amharic","Amharisch"
"Armenian","Armenisch"
"Azerbaijani","Aserbaidschanisch"
"Basque","Baskisch"
"Bengali","Bengalisch"
"Bulgarian","Bulgarisch"
"Catalan","Katalanisch"
"Chinese (Hong Kong)","Chinesisch (Hongkong)"
"Chinese (Simplified)","Chinesisch (vereinfacht)"
"Chinese (Traditional)","Chinesisch (traditionell)"
"Croatian","Kroatisch"
"Czech","Tschechisch"
"Danish","Dänisch"
"Dutch","Niederländisch"
"English (UK)","Englisch (UK)"
"English (US)","Englisch (US)"
"Estonian","Estnisch"
"Filipino","Philippinisch"
"Finnish","Finnisch"
"French","Französisch"
"French (Canadian)","Französisch (Kanadisch)"
"Galician","Galicisch"
"Georgian","Georgisch"
"German","Deutsch"
"German (Austria)","Deutsch (Österreich)"
"German (Switzerland)","Deutsch (Schweiz)"
"Greek","Griechisch"
"Gujarati","Gujarati"
"Hebrew","Hebräisch"
"Hindi","Hindi"
"Hungarain","Hungarain"
"Icelandic","Isländisch"
"Indonesian","Indonesisch"
"Italian","Italienisch"
"Japanese","Japanisch"
"Kannada","Kannada"
"Korean","Koreanisch"
"Laothian","Laothian"
"Latvian","Lettisch"
"Lithuanian","Litauisch"
"Malay","Malaiisch"
"Malayalam","Malayalam"
"Marathi","Marathi"
"Mongolian","Mongolisch"
"Norwegian","Norwegisch"
"Persian","Persisch"
"Polish","Polnisch"
"Portuguese","Portugiesisch"
"Portuguese (Brazil)","Portugiesisch (Brasilien)"
"Portuguese (Portugal)","Portugiesisch (Portugal)"
"Romanian","Rumänisch"
"Russian","Russisch"
"Serbian","Serbisch"
"Sinhalese","Singhalesisch"
"Slovak","Slowakisch"
"Slovenian","Slowenisch"
"Spanish","Spanisch"
"Spanish (Latin America)","Spanisch (Lateinamerika)"
"Swahili","Suaheli"
"Swedish","Schwedisch"
"Tamil","Tamilisch"
"Telugu","Telugu"
"Thai","Thai"
"Turkish","Türkisch"
"Ukrainian","Ukrainisch"
"Urdu","Urdu"
"Vietnamese","Vietnamesisch"
"Zulu","Zulu"
"Enable Honeypot?","Honigfalle aktivieren?"
"Field in form which is only visible for bots.","Fügt ein Feld in das Formular welches nur für Bots sichtbar ist."
"Enable REGEX-Filter","REGEX-Filter aktvieren?"
"Filter fields by regular expressions","Eingabe-Felder mittels regulärer Ausdrücke filtern"
"REGEX-Filter","REGEX-Filter"
"Filter fields by regular expressions. Filter URIs by default.","Eingabe-Felder mittels regulärer Ausdrücke filtern. Standardmäßig werden URIs gefiltert."
